id,title,source_ai,branch_name,pr_url,status,dev_stage,spec_stage,pr_status,processing,created_at
2567,"Innovation improvement executor 5bc4ab",innovation_engine,dev/innovation-executor-5bc4ab,https://github.com/douyo01-byte/openclaw-factory/pull/2333,closed,closed,decomposed,open,0,"2026-03-14 22:49:54"
2568,"Innovation improvement ai 141534",innovation_engine,dev/innovation-ai-141534,https://github.com/douyo01-byte/openclaw-factory/pull/2329,closed,closed,decomposed,open,0,"2026-03-14 22:49:54"
2569,"Innovation improvement self_improve ebf5ea",innovation_engine,dev/innovation-self-improve-ebf5ea,https://github.com/douyo01-byte/openclaw-factory/pull/2328,closed,closed,decomposed,open,0,"2026-03-14 22:49:54"
2571,"Innovation improvement executor fb7901",innovation_engine,dev/innovation-executor-fb7901,https://github.com/douyo01-byte/openclaw-factory/pull/2325,closed,closed,decomposed,open,0,"2026-03-14 22:50:09"
2572,"Innovation improvement ai 60189c",innovation_engine,dev/innovation-ai-60189c,https://github.com/douyo01-byte/openclaw-factory/pull/2323,closed,closed,decomposed,open,0,"2026-03-14 22:50:09"
2573,"Innovation improvement self_improve c3e28d",innovation_engine,dev/innovation-self-improve-c3e28d,https://github.com/douyo01-byte/openclaw-factory/pull/2322,closed,closed,decomposed,open,0,"2026-03-14 22:50:09"
2576,"Innovation improvement executor 1651e5",innovation_engine,dev/innovation-executor-1651e5,https://github.com/douyo01-byte/openclaw-factory/pull/2320,closed,closed,decomposed,open,0,"2026-03-14 22:51:32"
2577,"Innovation improvement ai 246752",innovation_engine,dev/innovation-ai-246752,https://github.com/douyo01-byte/openclaw-factory/pull/2319,closed,closed,decomposed,open,0,"2026-03-14 22:51:32"
2578,"Innovation improvement self_improve e8aa68",innovation_engine,dev/innovation-self-improve-e8aa68,https://github.com/douyo01-byte/openclaw-factory/pull/2318,closed,closed,decomposed,open,0,"2026-03-14 22:51:32"
2590,"Innovation improvement executor b04a3e",innovation_engine,dev/innovation-executor-b04a3e,https://github.com/douyo01-byte/openclaw-factory/pull/2314,closed,closed,decomposed,open,0,"2026-03-14 23:01:32"
2591,"Innovation improvement ai d1c95b",innovation_engine,dev/innovation-ai-d1c95b,https://github.com/douyo01-byte/openclaw-factory/pull/2315,closed,closed,decomposed,open,0,"2026-03-14 23:01:32"
2592,"Innovation improvement self_improve 742e2a",innovation_engine,dev/innovation-self-improve-742e2a,https://github.com/douyo01-byte/openclaw-factory/pull/2310,closed,closed,decomposed,open,0,"2026-03-14 23:01:32"
2600,"Innovation improvement executor 24945f",innovation_engine,dev/innovation-executor-24945f,https://github.com/douyo01-byte/openclaw-factory/pull/2313,closed,closed,decomposed,open,0,"2026-03-14 23:11:32"
2601,"Innovation improvement ai ea22aa",innovation_engine,dev/innovation-ai-ea22aa,https://github.com/douyo01-byte/openclaw-factory/pull/2312,closed,closed,decomposed,open,0,"2026-03-14 23:11:32"
2602,"Innovation improvement self_improve 6ef47c",innovation_engine,dev/innovation-self-improve-6ef47c,https://github.com/douyo01-byte/openclaw-factory/pull/2311,closed,closed,decomposed,open,0,"2026-03-14 23:11:32"
2605,"Innovation improvement executor e5d3e9",innovation_engine,dev/innovation-executor-e5d3e9,https://github.com/douyo01-byte/openclaw-factory/pull/2326,closed,closed,decomposed,open,0,"2026-03-14 23:21:32"
